3GPP	Third Generation Partnership Project
A2AD	Anti-Access/Area-Denial
A3M	Air Force/Army Anti-Jam Modem
AAG	air-to-air-to-ground
AAPIWG	Army Aviation Platform Integration Working Group
ABCS	Army Battle Command System
ABCT	Armored Brigade Combat Team
ABMOC	Air Battle Management Operations Center
ABMS	Advanced Battle Management System
ABW	Accessible Bandwidth
ACAT	Acquisition Category
ACC	Air Combat Command; Army Contracting Command; Advanced Cryptographic Capability
ACES	Automated Communications Engineering Software
ACM	Adaptive Coding and Modulation
ACO	Administrative Contracting Officer
ACPINS	Automated Computer Program Identification Number System
ACTD	Adv Concept Technology Demo
ADI	
ADNS	Automated Digital Network System
ADRA	Advanced Digital Radio Airborne
ADS	Advanced Design System
AERO-Net	Airborne Extensible Relay and Over-Horizon Network
AES	Advanced Encryption Standard
AFAPD	
AFATDS	Advanced Field Artillery Tactical Data System
AFB	Air Force Base
AFE	
AFLCMC	Air Force Life Cycle Management Center
AFMSS	Air Force Mission Support System
AFSOC	Air Force Special Operations Command
AFV	Armored Fighting Vehicle
AGL	Above Ground Level
AGNR	Air-to-Ground Networking Radio
AI	Artificial Intelligence
AIE	Air Interface Encryption
AIMS	Air Traffic Control Radar Beacon System (ATCRBS), Identification Friend or Foe (IFF), and Mark XII Systems
AISEP	Australian Information Security Evaluation Program
AJ	Anti-Jam
AJCN	Adaptive Joint Communications Node
ALC	Army Logistics Center [Taiwan FICS]
ALDT	Administrative, Logistics and Delay Time; Average Logistics Delay Time
ALE	Automatic Link Establishment; Air Launched Effects
ALUK	Application (was Algorithm) Local Unique Key
AMD	Automatic Message Display
AME	Amplitude Modulation Equivalent
AMODSM	Advanced Message-Oriented Data Security Module
AMR	Adaptive Multi-Rate
ANS	Alternate Navigation Systems
ANW2	Adaptive Networking Wideband Waveform
Ao	Operational Availability; Area of Operations
AOA	Angle of Arrival; Analysis of Alternatives
AOR	Area of xx
APACS	Aircraft and Personnel Automated Clearance System
APC	Automatic Power Control; Armored Personnel Carrier
